id,title,publishedAt,description,youtube_id
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC41NkI0NEY2RDEwNTU3Q0M2,Eugene Babakhin - My path from Data Science newbie to Kaggle Master,2017-05-22T15:30:25.000Z,"Overview of what Kaggle is, its pros and cons for the real life. Summary of competitions process and pipeline to handle them (with example for Kaggle competition: ""Two Sigma Connect: Rental Listing Inquiries"")",dCIM1EZ1WX4
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC45NDk1REZENzhEMzU5MDQz,Fedor Chervinskii - How to build a self-driving car (in 100 lines of code),2017-05-22T16:17:28.000Z,"Overview of the technology stack inside a modern autonomous vehicle with focus on perception. Different approaches and problem formulations; deep learning for self-driving cars. Mediated perception: semantic segmentation, object detection, depth estimation. Training data: real and simulated",AYK7_RGZ4Vw
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC4xMkVGQjNCMUM1N0RFNEUx,Free mic session,2017-05-22T16:10:07.000Z,The aim of this brief session is to expand data science connections. It is an excellent opportunity for everybody to present themselves to the audience and say a couple of words on their projects and interests related to data science. The presentation format is a two-minute talk and a one-minute question-answer part.,mVmcL7gmZVo
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC41MjE1MkI0OTQ2QzJGNzNG,Artur Kuzin - Objects segmentation on satellite images,2017-05-22T16:03:54.000Z,An overview of objects segmentation approaches on satellite images from Kaggle competition (Dstl Satellite Imagery Feature Detection). The speech will be dedicated to hacks and tricks of training and design deep convolutional neural networks collected from top-5 teams.,7VRAWuf-bFs
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC5DQUNERDQ2NkIzRUQxNTY1,Alexey Chernobrovov - How machine learning helps to find effective prices for goods,2017-05-22T16:15:52.000Z,Review of approaches to pricing. How it was before and how machine learning will change it. The theory and practice. A few examples of the implementation of this approach at a large online stores.,a_Bh0lLq36E
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC4wOTA3OTZBNzVEMTUzOTMy,Anton Lebedevich - ARIMA vs long term forecasts,2017-05-22T16:05:59.000Z,"Every textbook that has a time series chapter mentions ARIMA so it became a goto model for forecasting. But in real world it struggles with missing data, public holidays, non-stationarity, several steps ahead predictions. Anton will show better alternatives to ARIMA for long term forecasting.",3kbm-Doo89Y
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC4yODlGNEE0NkRGMEEzMEQy,Mike Korobov - Explain me like I'm 5,2017-05-22T16:00:28.000Z,ELI5 is a Python library which allows to visualize and debug various Machine Learning models. It has built-in support for several ML frameworks and provides a way to explain black-box models. Mike is ELI5 core developer who will tell us more how this magic works.,9vYkwD0feb4
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC4wMTcyMDhGQUE4NTIzM0Y5,Petr Ermakov - From Jupyter notebook to production environment,2017-05-22T16:02:11.000Z,In his speech Petr will overview the long way from the proof of concept models to highload production maintenance.,vZjm28HmqUY
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC41MzJCQjBCNDIyRkJDN0VD,Vitalii Radchenko - Sentiment analysis: best practices and challenges,2017-05-22T16:14:19.000Z,"Sentiment analysis is a very interesting task where there are many techniques which work well. We will cover data preprocessing, traditional ML, word- and char-based neural networks. Moreover, you will find out different tricks how to deal with small datasets, dataset absence and transfer learning.",d_-y7v-qHVE
UExwVmVBMXRkZ2ZDQ3B4czVHVFEyRzN4ZnlxdzN4d2g0cC5GNjNDRDREMDQxOThCMDQ2,Data Fest Belarus 2017,2017-05-22T16:22:55.000Z,"What is #datafestby?

Data Fest is an informal conference that unites researchers, engineers and other data science folks.

More info http://datafest.by/",ZBwxRww_EYo
